Timestamp,language,problem
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,C,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,C,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Python,"Hello, World"
10/30/2024 13:38:01,Scratch,Cash
10/30/2024 13:38:01,Python,Speller
10/30/2024 13:38:01,Python,"Hello, World"
